truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.78,-0.8,0.6,-0.928550280424895,0,neutral
-0.78,-0.78,0.6,-0.9285502729258769,0,neutral
-0.78,-0.76,0.6,-0.9285502628032595,0,neutral
-0.78,-0.74,0.6,-0.9285502491391524,0,neutral
-0.78,-0.7200000000000001,0.6,-0.9285502306945315,0,neutral
-0.78,-0.7000000000000001,0.6,-0.9285502057968875,0,neutral
-0.78,-0.68,0.6,-0.9285501721885653,0,neutral
-0.78,-0.66,0.6,-0.9285501268220423,0,neutral
-0.78,-0.64,0.6,-0.9285500655835812,0,neutral
-0.78,-0.6200000000000001,0.6,-0.9285499829201949,0,neutral
-0.78,-0.6000000000000001,0.6,-0.9285498713360938,0,neutral
-0.78,-0.5800000000000001,0.6,-0.9285497207129462,0,neutral
-0.78,-0.56,0.6,-0.9285495173922969,0,neutral
-0.78,-0.54,0.6,-0.9285492429369121,0,neutral
-0.78,-0.52,0.6,-0.9285488724586792,0,neutral
-0.78,-0.5,0.6,-0.9285483723613384,0,neutral
-0.78,-0.48000000000000004,0.6,-0.9285476972931854,0,neutral
-0.78,-0.46,0.6,-0.9285467860330956,0,neutral
-0.78,-0.44000000000000006,0.6,-0.9285455559362242,0,neutral
-0.78,-0.42000000000000004,0.6,-0.9285438954346424,0,neutral
-0.78,-0.4,0.6,-0.9285416539108944,0,neutral
-0.78,-0.38000000000000006,0.6,-0.9285386280226029,0,neutral
-0.78,-0.36000000000000004,0.6,-0.9285345432314547,0,neutral
-0.78,-0.34,0.6,-0.9285290288495857,0,neutral
-0.78,-0.32000000000000006,0.6,-0.9285215843186221,0,neutral
-0.78,-0.30000000000000004,0.6,-0.9285115336234863,0,neutral
-0.78,-0.28,0.6,-0.9284979636340602,0,neutral
-0.78,-0.26,0.6,-0.9284796406499508,0,neutral
-0.78,-0.24,0.6,-0.9284548973366146,0,neutral
-0.78,-0.22000000000000008,0.6,-0.9284214793541181,0,neutral
-0.78,-0.20000000000000007,0.6,-0.9283763369545369,0,neutral
-0.78,-0.18000000000000005,0.6,-0.9283153411542823,0,neutral
-0.78,-0.16000000000000003,0.6,-0.9282328959979094,0,neutral
-0.78,-0.14,0.6,-0.9281214066994932,0,neutral
-0.78,-0.12,0.6,0.8258583450858874,1,self_fulfilling
-0.78,-0.09999999999999998,0.6,0.8493143991746531,1,self_fulfilling
-0.78,-0.08000000000000007,0.6,0.8622363805403028,1,self_fulfilling
-0.78,-0.06000000000000005,0.6,0.8703435362720077,1,self_fulfilling
-0.78,-0.040000000000000036,0.6,0.8757479215864571,1,self_fulfilling
-0.78,-0.020000000000000018,0.6,0.8794772247424277,1,self_fulfilling
-0.78,0.0,0.6,0.8821070067974768,1,self_fulfilling
-0.78,0.020000000000000018,0.6,0.8839882690829929,1,self_fulfilling
-0.78,0.039999999999999925,0.6,0.8853473905103877,1,self_fulfilling
-0.78,0.05999999999999994,0.6,0.8863361038550744,1,self_fulfilling
-0.78,0.07999999999999996,0.6,0.887058911925081,1,self_fulfilling
-0.78,0.09999999999999998,0.6,0.8875892070597237,1,self_fulfilling
-0.78,0.12,0.6,0.88797926734643,1,self_fulfilling
-0.78,0.14,0.6,0.8882667177580796,1,self_fulfilling
-0.78,0.15999999999999992,0.6,0.8884788432781556,1,self_fulfilling
-0.78,0.17999999999999994,0.6,0.8886355411027823,1,self_fulfilling
-0.78,0.19999999999999996,0.6,0.8887513807184046,1,self_fulfilling
-0.78,0.21999999999999997,0.6,0.8888370628578589,1,self_fulfilling
-0.78,0.24,0.6,0.8889004644297138,1,self_fulfilling
-0.78,0.26,0.6,0.888947393312357,1,self_fulfilling
-0.78,0.28,0.6,0.8889821370778599,1,self_fulfilling
-0.78,0.30000000000000004,0.6,0.8890078638286479,1,self_fulfilling
-0.78,0.32000000000000006,0.6,0.889026916059065,1,self_fulfilling
-0.78,0.3400000000000001,0.6,0.8890410266701287,1,self_fulfilling
-0.78,0.3599999999999999,0.6,0.889051478077507,1,self_fulfilling
-0.78,0.3799999999999999,0.6,0.8890592195785304,1,self_fulfilling
-0.78,0.3999999999999999,0.6,0.8890649540243921,1,self_fulfilling
-0.78,0.41999999999999993,0.6,0.8890692018776102,1,self_fulfilling
-0.78,0.43999999999999995,0.6,0.889072348584269,1,self_fulfilling
-0.78,0.45999999999999996,0.6,0.8890746796228991,1,self_fulfilling
-0.78,0.48,0.6,0.8890764064444622,1,self_fulfilling
-0.78,0.5,0.6,0.8890776856755263,1,self_fulfilling
-0.78,0.52,0.6,0.8890786333368454,1,self_fulfilling
-0.78,0.54,0.6,0.8890793353726387,1,self_fulfilling
-0.78,0.56,0.6,0.8890798554486181,1,self_fulfilling
-0.78,0.5800000000000001,0.6,0.8890802407276756,1,self_fulfilling
-0.78,0.6000000000000001,0.6,0.8890805261479371,1,self_fulfilling
-0.78,0.6199999999999999,0.6,0.8890807375916528,1,self_fulfilling
-0.78,0.6399999999999999,0.6,0.8890808942325632,1,self_fulfilling
-0.78,0.6599999999999999,0.6,0.8890810102747584,1,self_fulfilling
-0.78,0.6799999999999999,0.6,0.8890810962407963,1,self_fulfilling
-0.78,0.7,0.6,0.8890811599259295,1,self_fulfilling
-0.78,0.72,0.6,0.8890812071049963,1,self_fulfilling
-0.78,0.74,0.6,0.8890812420560862,1,self_fulfilling
-0.78,0.76,0.6,0.8890812679484782,1,self_fulfilling
-0.78,0.78,0.6,0.8890812871300272,1,self_fulfilling
-0.78,0.8,0.6,0.8890813013400647,1,self_fulfilling
-0.76,-0.8,0.6,-0.9281466783282701,0,neutral
-0.76,-0.78,0.6,-0.9281466707714673,0,neutral
-0.76,-0.76,0.6,-0.9281466605708486,0,neutral
-0.76,-0.74,0.6,-0.9281466468014508,0,neutral
-0.76,-0.7200000000000001,0.6,-0.9281466282147021,0,neutral
-0.76,-0.7000000000000001,0.6,-0.9281466031252056,0,neutral
-0.76,-0.68,0.6,-0.9281465692579094,0,neutral
-0.76,-0.66,0.6,-0.9281465235418076,0,neutral
-0.76,-0.64,0.6,-0.9281464618314638,0,neutral
-0.76,-0.6200000000000001,0.6,-0.9281463785311008,0,neutral
-0.76,-0.6000000000000001,0.6,-0.9281462660871689,0,neutral
-0.76,-0.5800000000000001,0.6,-0.9281461143033661,0,neutral
-0.76,-0.56,0.6,-0.9281459094159876,0,neutral
-0.76,-0.54,0.6,-0.9281456328457243,0,neutral
-0.76,-0.52,0.6,-0.9281452595126752,0,neutral
-0.76,-0.5,0.6,-0.9281447555616839,0,neutral
-0.76,-0.48000000000000004,0.6,-0.9281440752915522,0,neutral
-0.76,-0.46,0.6,-0.9281431570093535,0,neutral
-0.76,-0.44000000000000006,0.6,-0.9281419174333123,0,neutral
-0.76,-0.42000000000000004,0.6,-0.9281402441356178,0,neutral
-0.76,-0.4,0.6,-0.9281379853378817,0,neutral
-0.76,-0.38000000000000006,0.6,-0.9281349361302458,0,neutral
-0.76,-0.36000000000000004,0.6,-0.928130819857813,0,neutral
-0.76,-0.34,0.6,-0.9281252629743452,0,neutral
-0.76,-0.32000000000000006,0.6,-0.928117761060724,0,neutral
-0.76,-0.30000000000000004,0.6,-0.9281076328861397,0,neutral
-0.76,-0.28,0.6,-0.928093958272181,0,neutral
-0.76,-0.26,0.6,-0.9280754939900393,0,neutral
-0.76,-0.24,0.6,-0.9280505598172131,0,neutral
-0.76,-0.22000000000000008,0.6,-0.9280168839694668,0,neutral
-0.76,-0.20000000000000007,0.6,-0.9279713930649411,0,neutral
